,kenteken,voertuigsoort,merk,handelsbenaming,inrichting,eerste_kleur,aantal_cilinders,massa_ledig_voertuig,wam_verzekerd,aantal_deuren,aantal_wielen,europese_voertuigcategorie,vermogen_massarijklaar,datum_tenaamstelling_dt,datum_eerste_toelating_dt,datum_eerste_tenaamstelling_in_nederland_dt,brandstof_volgnummer,brandstof_omschrijving,emissiecode_omschrijving,milieuklasse_eg_goedkeuring_licht,klasse_hybride_elektrisch_voertuig,uitlaatemissieniveau
4902,VTD89T,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-01-30T00:00:00.000,2023-01-30T00:00:00.000,2023-01-30T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4903,VTD89V,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-02-20T00:00:00.000,2023-02-20T00:00:00.000,2023-02-20T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4904,VTD92R,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-02-15T00:00:00.000,2023-02-15T00:00:00.000,2023-02-15T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4905,VTF05H,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-02-24T00:00:00.000,2023-02-24T00:00:00.000,2023-02-24T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4906,VTF07H,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-01-27T00:00:00.000,2023-01-27T00:00:00.000,2023-01-27T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4907,VTF08H,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-01-31T00:00:00.000,2023-01-31T00:00:00.000,2023-01-31T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4908,VTF10X,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-01-16T00:00:00.000,2023-01-16T00:00:00.000,2023-01-16T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4909,VTF11X,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-30T00:00:00.000,2022-12-30T00:00:00.000,2022-12-30T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4910,VTF17R,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-03-14T00:00:00.000,2023-03-14T00:00:00.000,2023-03-14T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4911,VTF17X,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-01-19T00:00:00.000,2023-01-19T00:00:00.000,2023-01-19T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4912,VTF18S,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-01-25T00:00:00.000,2023-01-25T00:00:00.000,2023-01-25T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4913,VTF18X,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-02-24T00:00:00.000,2023-02-24T00:00:00.000,2023-02-24T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4914,VTF27F,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2022-12-29T00:00:00.000,2022-12-29T00:00:00.000,2022-12-29T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4915,VTF30H,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-02-24T00:00:00.000,2023-02-24T00:00:00.000,2023-02-24T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4916,VTF37R,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-03-03T00:00:00.000,2023-02-27T00:00:00.000,2023-02-27T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4917,VTF42R,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-02-01T00:00:00.000,2023-02-01T00:00:00.000,2023-02-01T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4918,VTF45R,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-02-01T00:00:00.000,2023-02-01T00:00:00.000,2023-02-01T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4919,VTF47X,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-01-25T00:00:00.000,2023-01-25T00:00:00.000,2023-01-25T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4920,VTF49R,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-02-01T00:00:00.000,2023-02-01T00:00:00.000,2023-02-01T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4921,VTF50H,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-01-05T00:00:00.000,2023-01-05T00:00:00.000,2023-01-05T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
4922,VTF50R,Bedrijfsauto,VOLKSWAGEN,ID. BUZZ CARGO MODIFIED PARTITION WALL,gesloten opbouw,N.v.t.,,2252,Ja,4,4,N1,0.03,2023-02-01T00:00:00.000,2023-02-01T00:00:00.000,2023-02-01T00:00:00.000,1,Elektriciteit,Z,715/2007*2018/1832AX,,AX
