,kenteken,voertuigsoort,merk,handelsbenaming,inrichting,eerste_kleur,massa_ledig_voertuig,wam_verzekerd,aantal_wielen,europese_voertuigcategorie,datum_tenaamstelling_dt,datum_eerste_toelating_dt,datum_eerste_tenaamstelling_in_nederland_dt,aantal_deuren,aantal_cilinders,vermogen_massarijklaar,brandstof_volgnummer,brandstof_omschrijving,emissiecode_omschrijving,klasse_hybride_elektrisch_voertuig,uitlaatemissieniveau,milieuklasse_eg_goedkeuring_licht
11304,VTR48T,Bedrijfsauto,OPEL,VIVARO,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2023-03-02T00:00:00.000,2023-03-02T00:00:00.000,2023-03-02T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11305,VTR82D,Bedrijfsauto,PEUGEOT,EXPERT,gesloten opbouw,N.v.t.,2088,Ja,4,N1,2023-02-28T00:00:00.000,2023-02-28T00:00:00.000,2023-02-28T00:00:00.000,3,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11306,VTS47Z,Bedrijfsauto,OPEL,VIVARO,gesloten opbouw,N.v.t.,2088,Nee,4,N1,2023-02-28T00:00:00.000,2023-02-28T00:00:00.000,2023-02-28T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11307,VTS48Z,Bedrijfsauto,OPEL,VIVARO,gesloten opbouw,N.v.t.,2088,Nee,4,N1,2023-02-28T00:00:00.000,2023-02-28T00:00:00.000,2023-02-28T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11308,VTS50Z,Bedrijfsauto,OPEL,VIVARO,gesloten opbouw,N.v.t.,2088,Nee,4,N1,2023-02-28T00:00:00.000,2023-02-28T00:00:00.000,2023-02-28T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11309,VTS54Z,Bedrijfsauto,OPEL,VIVARO,gesloten opbouw,N.v.t.,2088,Nee,4,N1,2023-02-28T00:00:00.000,2023-02-28T00:00:00.000,2023-02-28T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11310,VTS56Z,Bedrijfsauto,OPEL,VIVARO,gesloten opbouw,N.v.t.,2088,Nee,4,N1,2023-02-28T00:00:00.000,2023-02-28T00:00:00.000,2023-02-28T00:00:00.000,2,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11311,VTX02K,Bedrijfsauto,PEUGEOT,EXPERT,gesloten opbouw,N.v.t.,2088,Nee,4,N1,,,,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11312,VTX87N,Bedrijfsauto,FIAT,SCUDO,gesloten opbouw,N.v.t.,2088,Nee,4,N1,,,,4,,0.03,1,Elektriciteit,Z,,AX,715/2007*2018/1832AX
11313,VBX37T,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,2187,Ja,4,N1,2019-10-03T00:00:00.000,2019-10-03T00:00:00.000,2019-10-03T00:00:00.000,6,,0.03,1,Elektriciteit,Z,,AX,
11314,VDH91Z,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,2187,Ja,4,N1,2019-12-02T00:00:00.000,2019-12-02T00:00:00.000,2019-12-02T00:00:00.000,6,,0.03,1,Elektriciteit,Z,,AX,
11315,VDJ65K,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,2187,Ja,4,N1,2022-03-08T00:00:00.000,2019-11-15T00:00:00.000,2019-11-15T00:00:00.000,6,,0.03,1,Elektriciteit,Z,,AX,
11316,VGB60X,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,2187,Ja,4,N1,2020-05-29T00:00:00.000,2020-05-29T00:00:00.000,2020-05-29T00:00:00.000,6,,0.03,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
11317,VGB61X,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,2187,Ja,4,N1,2020-06-08T00:00:00.000,2020-06-08T00:00:00.000,2020-06-08T00:00:00.000,6,,0.03,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
11318,VGB62X,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,2187,Ja,4,N1,2020-05-29T00:00:00.000,2020-05-29T00:00:00.000,2020-05-29T00:00:00.000,6,,0.03,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
11319,VGV93K,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,2187,Ja,4,N1,2020-10-12T00:00:00.000,2020-10-12T00:00:00.000,2020-10-12T00:00:00.000,6,,0.03,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
11320,VGV94K,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,2187,Ja,4,N1,2020-10-15T00:00:00.000,2020-10-15T00:00:00.000,2020-10-15T00:00:00.000,6,,0.03,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
11321,VGV95K,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,2187,Ja,4,N1,2020-10-12T00:00:00.000,2020-10-12T00:00:00.000,2020-10-12T00:00:00.000,6,,0.03,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
11322,VGV96K,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,2187,Ja,4,N1,2020-10-15T00:00:00.000,2020-10-15T00:00:00.000,2020-10-15T00:00:00.000,6,,0.03,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
11323,VGX05L,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,2187,Ja,4,N1,2020-10-08T00:00:00.000,2020-10-08T00:00:00.000,2020-10-08T00:00:00.000,6,,0.03,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
11324,VGX06L,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,2187,Ja,4,N1,2020-10-26T00:00:00.000,2020-10-26T00:00:00.000,2020-10-26T00:00:00.000,6,,0.03,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
11325,VGX07L,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,2187,Ja,4,N1,2020-10-05T00:00:00.000,2020-10-05T00:00:00.000,2020-10-05T00:00:00.000,6,,0.03,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
11326,VGX08L,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,2187,Ja,4,N1,2020-10-05T00:00:00.000,2020-10-05T00:00:00.000,2020-10-05T00:00:00.000,6,,0.03,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
11327,VGX09L,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,2187,Ja,4,N1,2020-10-15T00:00:00.000,2020-10-15T00:00:00.000,2020-10-15T00:00:00.000,6,,0.03,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
11328,VGX11L,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,2187,Ja,4,N1,2020-10-12T00:00:00.000,2020-10-12T00:00:00.000,2020-10-12T00:00:00.000,6,,0.03,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
11329,VGX12L,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,2187,Ja,4,N1,2020-10-12T00:00:00.000,2020-10-12T00:00:00.000,2020-10-12T00:00:00.000,6,,0.03,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
11330,VGX16L,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,2187,Ja,4,N1,2020-10-08T00:00:00.000,2020-10-08T00:00:00.000,2020-10-08T00:00:00.000,6,,0.03,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
11331,VGX17L,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,2187,Ja,4,N1,2020-10-15T00:00:00.000,2020-10-15T00:00:00.000,2020-10-15T00:00:00.000,6,,0.03,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
11332,VGX18L,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,2187,Ja,4,N1,2020-10-05T00:00:00.000,2020-10-05T00:00:00.000,2020-10-05T00:00:00.000,6,,0.03,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
11333,VHG17N,Bedrijfsauto,MERCEDES-BENZ,EVITO,gesloten opbouw,N.v.t.,2187,Ja,4,N1,2020-10-27T00:00:00.000,2020-10-27T00:00:00.000,2020-10-27T00:00:00.000,6,,0.03,1,Elektriciteit,Z,,AX,715/2007*2017/1347AX
