,DateLastVerified,ID,NumberOfPoints,DateLastStatusUpdate,DataQualityLevel,DateCreated,Address_ID,Address_Title,Address_Line1,Address_Town,Postcode,LAT,LON,UsageCost,MetadataValues,DateLastConfirmed,Address_Type
74,2021-12-25T14:46:00Z,190800,4,2021-12-25T14:46:00Z,1.0,2021-12-25T14:46:00Z,191159,Kloosterhof 1 Malden,Kloosterhof 1,Heumen,6581,51.78351485299547,5.853117655653705,,,,Straat
75,2021-12-25T09:43:00Z,190786,2,2021-12-25T09:43:00Z,1.0,2021-12-23T12:58:00Z,191145, Allego (NL) - 2 Beelen - Tolbert,Beelen 2,Tolbert,9356,53.16617235219772,6.365452206876483,,,,Straat
76,2021-12-19T21:24:00Z,190742,1,2021-12-19T21:24:00Z,1.0,2021-12-19T12:50:00Z,191101,1A Maliestraat,1A Maliestraat,Utrecht,3581,52.09439885061656,5.13682600351558,,,,Straat
77,2021-12-19T21:24:00Z,190741,1,2021-12-19T21:24:00Z,1.0,2021-12-19T12:50:00Z,191100,Partou Kinderopvang,Partou Kinderopvang,Utrecht,3581,52.09460183680176,5.137383584372742,,,,Straat
78,2021-12-19T21:24:00Z,190740,1,2021-12-19T21:24:00Z,1.0,2021-12-19T12:48:00Z,191099,2 Johan de Wittstraat,2 Johan de Wittstraat,Utrecht,3581,52.08747062866928,5.1294540610476815,,,,Straat
79,2021-12-19T21:25:00Z,190739,1,2021-12-19T21:25:00Z,1.0,2021-12-19T12:48:00Z,191098,50 Maliesingel,50 Maliesingel,Utrecht,3581,52.08681383473356,5.12965218031195,,,,Straat
80,2021-12-19T21:25:00Z,190738,1,2021-12-19T21:25:00Z,1.0,2021-12-19T12:45:00Z,191097,146-BS Frederik Hendrikstraat,146-BS Frederik Hendrikstraat,Utrecht,3583,52.08753185131545,5.144907961435706,,,,Straat
81,2021-12-19T21:25:00Z,190737,1,2021-12-19T21:25:00Z,1.0,2021-12-19T12:44:00Z,191096,Frederik Hendrikstraat,Frederik Hendrikstraat,Utrecht,3583,52.0893326912462,5.144997951445703,,,,Straat
82,2021-12-19T21:25:00Z,190736,1,2021-12-19T21:25:00Z,1.0,2021-12-19T12:44:00Z,191095,Dillenburgstraat,Dillenburgstraat,Utrecht,3583,52.08933791435135,5.144052165853964,,,,Straat
83,2021-12-19T21:25:00Z,190735,1,2021-12-19T21:25:00Z,1.0,2021-12-19T12:43:00Z,191094,Frederik Hendrikstraat,Frederik Hendrikstraat,Utrecht,3583,52.09133977918398,5.144411430434616,,,,Straat
84,2021-12-19T21:25:00Z,190734,1,2021-12-19T21:25:00Z,1.0,2021-12-19T12:43:00Z,191093,22 Johan Willem Frisostraat,22 Johan Willem Frisostraat,Utrecht,3583,52.091211258387716,5.14362166824526,,,,Straat
85,2021-12-19T21:25:00Z,190733,1,2021-12-19T21:25:00Z,1.0,2021-12-19T12:43:00Z,191092,Johan Willem Frisostraat,Johan Willem Frisostraat,Utrecht,3583,52.09091765343223,5.1426455651408105,,,,Straat
86,2021-12-19T21:25:00Z,190732,1,2021-12-19T21:25:00Z,1.0,2021-12-19T12:40:00Z,191091,Stolberglaan,Stolberglaan,Utrecht,3583,52.09156927028508,5.142013335418824,,,,Straat
87,2021-12-19T21:25:00Z,190731,1,2021-12-19T21:25:00Z,1.0,2021-12-19T12:38:00Z,191090,Emmalaan,Emmalaan,Utrecht,3581,52.09334789225565,5.13998540702346,,,,Straat
88,2021-12-19T21:26:00Z,190730,1,2021-12-19T21:26:00Z,1.0,2021-12-19T12:37:00Z,191089,74 Wolter Heukelslaan,74 Wolter Heukelslaan,Utrecht,3581,52.094065878017204,5.138216938305618,,,,Straat
89,2021-12-19T21:26:00Z,190729,1,2021-12-19T21:26:00Z,1.0,2021-12-19T12:37:00Z,191088,70 Wolter Heukelslaan,70 Wolter Heukelslaan,Utrecht,3581,52.093662668099284,5.138263700923744,,,,Straat
90,2021-12-19T21:26:00Z,190728,1,2021-12-19T21:26:00Z,1.0,2021-12-19T12:36:00Z,191087,65A-BS Wolter Heukelslaan,65A-BS Wolter Heukelslaan,Utrecht,3581,52.09299309878932,5.137815118952972,,,,Straat
91,2021-12-19T21:26:00Z,190727,1,2021-12-19T21:26:00Z,1.0,2021-12-19T12:35:00Z,191086,Zonnehof,Zonnehof,Utrecht,3581,52.08557265458322,5.134593090747785,,,,Straat
92,2021-12-19T21:26:00Z,190726,1,2021-12-19T21:26:00Z,1.0,2021-12-19T12:35:00Z,191085,62 Homeruslaan,62 Homeruslaan,Utrecht,3581,52.08539424128722,5.1366493877505945,,,,Straat
93,2021-12-19T21:26:00Z,190725,1,2021-12-19T21:26:00Z,1.0,2021-12-19T12:34:00Z,191084,Koningslaan,Koningslaan,Utrecht,3583,52.08549713969251,5.139713048908561,,,,Straat
94,2021-12-19T21:26:00Z,190724,1,2021-12-19T21:26:00Z,1.0,2021-12-19T12:33:00Z,191083,Wagendwarsstraat,Wagendwarsstraat,Utrecht,3581,52.09005478679455,5.133734557582329,,,,Straat
95,2021-12-19T21:26:00Z,190723,1,2021-12-19T21:26:00Z,1.0,2021-12-19T12:32:00Z,191082,15 Bloesemstraat,15 Bloesemstraat,Utrecht,3581,52.08818594300041,5.133346335065994,,,,Straat
96,2021-12-19T21:26:00Z,190722,1,2021-12-19T21:26:00Z,1.0,2021-12-19T12:31:00Z,191081,Minervaplein,Minervaplein,Utrecht,3581,52.086329944695024,5.13538062577652,,,,Straat
97,2021-12-19T21:26:00Z,190721,1,2021-12-19T21:26:00Z,1.0,2021-12-19T12:30:00Z,191080,80 Bankstraat,80 Bankstraat,Utrecht,3581,52.08692819056603,5.135704882230243,,,,Straat
98,2021-12-19T21:26:00Z,190720,1,2021-12-19T21:26:00Z,1.0,2021-12-19T12:27:00Z,191079,Willem de Zwijgerstraat,Willem de Zwijgerstraat,Utrecht,3583,52.0872231173976,5.14253424432502,,,,Straat
99,2021-12-19T21:26:00Z,190719,1,2021-12-19T21:26:00Z,1.0,2021-12-19T12:23:00Z,191078,Dillenburgstraat,Dillenburgstraat,Utrecht,3583,52.08916478875773,5.142193386030044,"0,36 per kWh",,,Straat
100,2021-12-19T21:27:00Z,190718,1,2021-12-19T21:27:00Z,1.0,2021-12-19T12:22:00Z,191077,Van Alphenplein,Van Alphenplein,Utrecht,3581,52.091717725238425,5.138035548936045,"0,36 per kWh",,,Straat
101,2021-12-19T21:27:00Z,190717,1,2021-12-19T21:27:00Z,1.0,2021-12-19T12:20:00Z,191076,Wolter Heukelslaan,Wolter Heukelslaan,Utrecht,3581,52.091365709776454,5.13593364135636,"0,36 per kWh",,,Straat
102,2021-12-19T21:27:00Z,190716,1,2021-12-19T21:27:00Z,1.0,2021-12-19T12:18:00Z,191075,Oudwijkerveldstraat,Oudwijkerveldstraat,Utrecht,3581,52.090672992999174,5.139545855576216,"0,36 per kWh",,,Straat
103,2021-12-19T21:27:00Z,190715,1,2021-12-19T21:27:00Z,1.0,2021-12-19T12:16:00Z,191074,Baanstraat,Baanstraat,Utrecht,3581,52.08811463525973,5.137616741754414,"0,36 per kWh",,,Straat
104,2021-12-19T21:27:00Z,190714,1,2021-12-19T21:27:00Z,1.0,2021-12-19T12:15:00Z,191073,Wilhelminapark,Wilhelminapark,Utrecht,3581,52.088493461073995,5.138207920472382,"0,36 per kWh",,,Straat
105,2021-12-19T21:27:00Z,190713,1,2021-12-19T21:27:00Z,1.0,2021-12-19T12:11:00Z,191072,Van der Duijnstraat,Van der Duijnstraat,Utrecht,3581,52.08956879970452,5.137197575874552,"0,36 per kWh",,,Straat
106,2021-12-19T21:27:00Z,190712,1,2021-12-19T21:27:00Z,1.0,2021-12-19T12:09:00Z,191071,Prinsenstraat,Prinsenstraat,Utrecht,3581,52.09016646756268,5.138294360708983,"0,36 per kWh",,,Straat
107,2022-08-13T21:12:00Z,190544,2,2022-08-13T21:12:00Z,1.0,2021-12-12T13:28:00Z,190903,IONITY Overbroek,Overbroek,Opheusden,4051,51.921616,5.603749,,,,Tankstation
108,2021-12-13T13:52:00Z,190533,2,2021-12-13T13:52:00Z,1.0,2021-12-12T12:37:00Z,190892,IONITY De Knoest,De Knoest,Nieuwegein,3433,52.014598,5.122174,,,,Tankstation
109,2021-12-13T13:57:00Z,190516,4,2021-12-13T13:57:00Z,1.0,2021-12-12T11:32:00Z,190875,IONITY Apeldoorn-Zuid,Lange Amerikaweg,Apeldoorn,7332,52.1791,5.984281,,,,Tankstation
110,2021-12-03T11:13:00Z,190378,4,2021-12-03T11:13:00Z,1.0,2021-12-02T10:07:00Z,190737,Shell Kooimeer,Rijksweg A9 wz,Alkmaar,1814,52.61466842977481,4.73974268657912,,,,Tankstation
111,2021-11-07T10:04:00Z,189833,2,2021-11-07T10:04:00Z,1.0,2021-11-06T09:24:00Z,190192,Fastned Bodegraven,Bodegraven,Bodegraven,2411,52.06609674140043,4.740941524163732,,,,Tankstation
112,2021-10-27T20:59:00Z,189692,2,2021-10-27T20:59:00Z,1.0,2021-10-26T19:27:00Z,190051,Derde Haren 2,Derde Haren 2,'s-Hertogenbosch,5233,51.71331874026589,5.3244017626710445,,,,Straat
113,2021-10-26T08:35:00Z,189683,2,2021-10-26T08:35:00Z,1.0,2021-10-25T12:08:00Z,190042,Manis Krijgsmanhof 176,Manis Krijgsmanhof 176,'s-Hertogenbosch,5233,51.716871183020714,5.326481719329422,,,,Straat
114,2021-10-13T11:34:00Z,189571,1,2021-10-13T11:34:00Z,1.0,2021-10-13T09:40:00Z,189930,Amsteldijk 707,Amsteldijk 707,Amsterdam,1074,52.35696655643656,4.904728043048863,"€0,37/kWh",,,Straat
115,2021-10-13T08:34:00Z,189568,1,2021-10-13T08:34:00Z,1.0,2021-10-12T22:57:00Z,189927,Pastoor Kampstraat,Pastoor Kampstraat 11A,De Moer,5176,51.62212023200124,5.014121586034207,"€0,37/kWh",,,Straat
116,2021-10-09T20:38:00Z,189532,2,2021-10-09T20:38:00Z,1.0,2021-10-09T13:59:00Z,189891,Handelskade,Handelskade,Zutphen,7202,52.15484297040098,6.201007564910242,,,,Straat
117,2021-09-13T14:03:00Z,189190,2,2021-09-13T14:03:00Z,1.0,2021-09-12T10:30:00Z,189549,Kagerdreef 90,Kagerdreef 90,Teylingen,2172,52.2209165058091,4.531349788212651,"€0,37/kWh",,,Straat
118,2021-09-11T05:23:00Z,189106,1,2021-09-11T05:23:00Z,1.0,2021-09-08T05:15:00Z,189465,Pap,Pastoor Linssenstraat,Velden,5941,51.4117,6.1678,,,,Straat
119,2021-08-18T21:31:00Z,188817,1,2021-08-18T21:31:00Z,1.0,2021-08-18T21:31:00Z,189176,Parelstraat 12,Parelstraat 12,Ede,6713,52.04224240470472,5.665900546495209,,,,Straat
